ID,Use for zillow scrape
15838,"https://www.zillow.com/homes/1416-MATHESON-AV-CHARLOTTE,-NC-28227_rb/"
15840,"https://www.zillow.com/homes/601-WOODRUFF-PL-CHARLOTTE,-NC-28229_rb/"
15841,"https://www.zillow.com/homes/1114-THISTLE-CT-CHARLOTTE,-NC-28229_rb/"
15842,"https://www.zillow.com/homes/401-WESLEY-HEIGHTS-WY-CHARLOTTE,-NC-28230_rb/"
15843,"https://www.zillow.com/homes/424-WOODVALE-PL-CHARLOTTE,-NC-28234_rb/"
15844,"https://www.zillow.com/homes/425-WALNUT-AV-CHARLOTTE,-NC-28235_rb/"
15845,"https://www.zillow.com/homes/501-JEFFERSON-DR-CHARLOTTE,-NC-28236_rb/"
15846,"https://www.zillow.com/homes/5001-GAMTON-CT-CHARLOTTE,-NC-28247_rb/"
15851,"https://www.zillow.com/homes/921-GREENLEAF-AV-CHARLOTTE,-NC-28269_rb/"
15855,"https://www.zillow.com/homes/4501-PENDOCK-CT-CHARLOTTE,-NC-28270_rb/"
15862,"https://www.zillow.com/homes/3112-AUBURN-AV-CHARLOTTE,-NC-28270_rb/"
15866,"https://www.zillow.com/homes/4308-BELLWOOD-LN-CHARLOTTE,-NC-28270_rb/"
15868,"https://www.zillow.com/homes/8001-CLIFFSIDE-DR-CHARLOTTE,-NC-28270_rb/"
15870,"https://www.zillow.com/homes/636-REYNOLDS-DR-CHARLOTTE,-NC-28270_rb/"
15871,"https://www.zillow.com/homes/7408-FOLGER-DR-CHARLOTTE,-NC-28270_rb/"
15910,"https://www.zillow.com/homes/356-SARDIS-RD-NORTH-ALT-CHARLOTTE,-NC-28270_rb/"
15963,"https://www.zillow.com/homes/1012-BROADMOOR-DR-CHARLOTTE,-NC-28270_rb/"
15975,"https://www.zillow.com/homes/2320-SHARON-RD-CHARLOTTE,-NC-28270_rb/"
